amenity_name,amenity_type,lat,long,district_name
L0031,Carpark,1.312500279,103.8755891,GEYLANG
L0032,Carpark,1.313998147,103.8813904,GEYLANG
L0033,Carpark,1.312064263,103.8833161,GEYLANG
L0034,Carpark,1.312431616,103.8839944,GEYLANG
L0035,Carpark,1.314484534,103.8830474,GEYLANG
L0036,Carpark,1.314655168,103.8830943,GEYLANG
L0037,Carpark,1.312185574,103.884849,GEYLANG
L0038,Carpark,1.314941874,103.883804,GEYLANG
L0039,Carpark,1.314479347,103.8847402,GEYLANG
L0040,Carpark,1.31270337,103.8855478,GEYLANG
L0041,Carpark,1.31472276,103.8858316,GEYLANG
L0042,Carpark,1.312898508,103.8862902,GEYLANG
L0043,Carpark,1.31464194,103.8869518,GEYLANG
L0044,Carpark,1.312633116,103.8869417,GEYLANG
L0045,Carpark,1.315009808,103.8878398,GEYLANG
L0046,Carpark,1.312915124,103.8878524,GEYLANG
L0047,Carpark,1.315309878,103.8885758,GEYLANG
L0048,Carpark,1.312615735,103.8885646,GEYLANG
L0049,Carpark,1.315497967,103.8897145,GEYLANG
L0050,Carpark,1.313565781,103.8889684,GEYLANG
L0051,Carpark,1.315562102,103.8907607,GEYLANG
L0052,Carpark,1.313947973,103.8895303,GEYLANG
L0053,Carpark,1.315847699,103.8913205,GEYLANG
L0056,Carpark,1.311437556,103.8860531,GEYLANG
L0057,Carpark,1.315897249,103.8904039,GEYLANG
L0058,Carpark,1.353833929,103.8772217,SERANGOON
L0060,Carpark,1.326796557,103.8738985,GEYLANG
L0061,Carpark,1.35433572,103.8764849,SERANGOON
L0064,Carpark,1.313782294,103.8798255,GEYLANG
L0065,Carpark,1.329335597,103.8747569,GEYLANG
L0074,Carpark,1.315031106,103.8805583,GEYLANG
L0076,Carpark,1.319468991,103.9106242,BEDOK
L0077,Carpark,1.290780959,103.8117157,BUKIT MERAH
L0078,Carpark,1.319140394,103.9119029,BEDOK
L0079,Carpark,1.319126454,103.9095348,BEDOK
L0081,Carpark,1.326172956,103.8529812,NOVENA
L0082,Carpark,1.318846308,103.9078211,BEDOK
L0083,Carpark,1.319133796,103.9089692,BEDOK
L0085,Carpark,1.377745085,103.9724235,PASIR RIS
L0087,Carpark,1.382741464,103.9720044,PASIR RIS
L0088,Carpark,1.372774249,103.9683831,PASIR RIS
L0089,Carpark,1.374632511,103.9667761,PASIR RIS
L0092,Carpark,1.338232807,103.8850955,TOA PAYOH
L0093,Carpark,1.297414638,103.8562565,DOWNTOWN CORE
L0096,Carpark,1.315296508,103.8998052,GEYLANG
L0097,Carpark,1.31580887,103.900892,GEYLANG
L0098,Carpark,1.316525585,103.9020436,GEYLANG
L0099,Carpark,1.315730471,103.9028043,GEYLANG
L0100,Carpark,1.316749986,103.9032618,GEYLANG
L0101,Carpark,1.316554148,103.9039335,GEYLANG
L0102,Carpark,1.316725505,103.9045662,GEYLANG
L0103,Carpark,1.31497991,103.9007719,GEYLANG
L0104,Carpark,1.390197737,103.9872884,CHANGI
L0107,Carpark,1.313647952,103.8794573,GEYLANG
L0109,Carpark,1.375016751,103.9720051,PASIR RIS
L0110,Carpark,1.374406908,103.9689307,PASIR RIS
L0113,Carpark,1.311661592,103.8744536,KALLANG
L0115,Carpark,1.310573113,103.8719968,KALLANG
L0116,Carpark,1.312973559,103.8806235,GEYLANG
L0117,Carpark,1.315468731,103.882795,GEYLANG
L0118,Carpark,1.313237922,103.8885524,GEYLANG
L0120,Carpark,1.31966119,103.9115763,BEDOK
L0123,Carpark,1.313275131,103.8764806,GEYLANG
L0124,Carpark,1.315060768,103.8894332,GEYLANG
L0125,Carpark,1.315080102,103.8872229,GEYLANG
M0001,Carpark,1.306358038,103.8473874,ROCHOR
M0003,Carpark,1.312797874,103.8570584,KALLANG
M0005,Carpark,1.304128593,103.8537174,ROCHOR
M0006,Carpark,1.279628482,103.8473907,DOWNTOWN CORE
M0009,Carpark,1.273833002,103.8460064,DOWNTOWN CORE
M0011,Carpark,1.283788249,103.844803,OUTRAM
M0015,Carpark,1.292555176,103.8408435,RIVER VALLEY
M0017,Carpark,1.301666482,103.8506496,ROCHOR
M0020,Carpark,1.30806413,103.8582734,KALLANG
M0026,Carpark,1.299049536,103.8540002,ROCHOR
M0032,Carpark,1.448209698,103.7751081,WOODLANDS
M0038,Carpark,1.36501473,103.8656431,SERANGOON
M0039,Carpark,1.365290454,103.865557,SERANGOON
M0040,Carpark,1.305132241,103.8495599,ROCHOR
M0043,Carpark,1.304170169,103.8494242,ROCHOR
M0048,Carpark,1.323740197,103.851081,NOVENA
M0049,Carpark,1.323539609,103.8498936,NOVENA
M0050,Carpark,1.27975114,103.8461117,DOWNTOWN CORE
M0055,Carpark,1.327044989,103.8664193,KALLANG
M0058,Carpark,1.332321893,103.8838476,GEYLANG
M0059,Carpark,1.305989316,103.8473351,NEWTON
M0063,Carpark,1.305845062,103.8488207,ROCHOR
M0066,Carpark,1.334556448,103.8847612,TOA PAYOH
M0068,Carpark,1.305208027,103.8483488,NEWTON
M0072,Carpark,1.322353204,103.8498277,NOVENA
M0074,Carpark,1.312290739,103.8418932,NOVENA
M0076,Carpark,1.325219861,103.8487885,NOVENA
M0077,Carpark,1.294201799,103.8415753,RIVER VALLEY
M0078,Carpark,1.266481931,103.8205184,BUKIT MERAH
M0079,Carpark,1.447498514,103.7766554,WOODLANDS
M0080,Carpark,1.305223566,103.9022576,MARINE PARADE
M0084,Carpark,1.274578043,103.8494398,DOWNTOWN CORE
M0085,Carpark,1.292915705,103.8381954,RIVER VALLEY
M0088,Carpark,1.300478157,103.8029253,QUEENSTOWN
N0003,Carpark,1.303400247,103.85952,ROCHOR
N0005,Carpark,1.34344523,103.8857872,HOUGANG
N0006,Carpark,1.279297395,103.8419055,OUTRAM
N0010,Carpark,1.303563677,103.8495782,ROCHOR
N0011,Carpark,1.308034462,103.8537293,ROCHOR
N0012,Carpark,1.30595666,103.8636834,KALLANG
N0013,Carpark,1.300359527,103.8565943,DOWNTOWN CORE
N0014,Carpark,1.286398403,103.8481635,SINGAPORE RIVER
N0016,Carpark,1.325589269,103.7008799,BOON LAY
N0020,Carpark,1.287176276,103.8447725,SINGAPORE RIVER
N0023,Carpark,1.391239356,103.9852685,CHANGI
N0047,Carpark,1.279279951,103.8421431,OUTRAM
